,Aggr,BA_Shapes-acc,BA_Shapes-completion,BA_Community-acc,BA_Community-completion,Tree_Cycle-acc,Tree_Cycle-completion,Cora-acc,Cora-completion
0,add,0.7899+-0.0785,0.6419+-0.0162,0.7258+-0.0094,0.5233+-0.0151,0.8506+-0.1517,0.8629+-0.0148,0.8727+-0.0141,0.5901+-0.0369
1,mean,0.8651+-0.1551,0.8615+-0.0638,0.6400+-0.0029,0.6379+-0.0139,0.6052+-0.0281,0.8495+-0.0153,0.8807+-0.0144,0.8517+-0.0098
2,multi,0.9736+-0.0151,0.6468+-0.0100,0.8943+-0.0318,0.5922+-0.0414,0.9924+-0.0071,0.9867+-0.0117,0.8788+-0.0099,0.7195+-0.0109
