,Aggr,BA_Shapes-acc,BA_Shapes-completion,BA_Community-acc,BA_Community-completion,Tree_Cycle-acc,Tree_Cycle-completion,Cora-acc,Cora-completion
0,add,0.4478+-0.0196,0.4572+-0.0578,0.6587+-0.0279,0.6309+-0.0126,0.6052+-0.0281,0.7608+-0.0550,0.8741+-0.0176,0.8543+-0.0095
1,mean,0.9668+-0.0035,0.9621+-0.0119,0.7239+-0.0759,0.5548+-0.0681,0.9811+-0.0268,0.9906+-0.0097,0.7951+-0.0198,0.6180+-0.0080
2,multi,0.9642+-0.0181,0.9502+-0.0152,0.8602+-0.0217,0.7234+-0.0075,0.9981+-0.0027,0.9887+-0.0123,0.7844+-0.0536,0.8194+-0.0187
