,Aggr,BA_Shapes-acc,BA_Shapes-completion,BA_Community-acc,BA_Community-completion,Tree_Cycle-acc,Tree_Cycle-completion,Cora-acc,Cora-completion
0,add,0.4478+-0.0196,0.4758+-0.0335,0.6466+-0.0448,0.6477+-0.0389,0.6052+-0.0281,0.7044+-0.0446,0.8728+-0.0121,0.8596+-0.0088
1,mean,0.9553+-0.0224,0.9647+-0.0147,0.7521+-0.0174,0.5272+-0.0638,0.9811+-0.0268,0.9924+-0.0107,0.7927+-0.0093,0.6125+-0.0166
2,multi,0.9718+-0.0148,0.9551+-0.0082,0.7883+-0.0711,0.7054+-0.0491,0.9981+-0.0027,0.9905+-0.0097,0.7965+-0.0391,0.8130+-0.0179
