,Aggr,BA_Shapes-acc,BA_Shapes-completion,BA_Community-acc,BA_Community-completion,Tree_Cycle-acc,Tree_Cycle-completion,Cora-acc,Cora-completion
0,add,0.9758+-0.0295,0.8195+-0.0406,0.6703+-0.0188,0.7928+-0.0062,0.7867+-0.1108,0.8828+-0.0653,0.8703+-0.0120,0.6980+-0.0156
1,mean,0.9527+-0.0059,0.9433+-0.0090,0.6853+-0.0160,0.5154+-0.1229,0.8382+-0.1610,0.9234+-0.0417,0.8724+-0.0162,0.7183+-0.0245
2,multi,0.9953+-0.0034,0.9740+-0.0143,0.9698+-0.0091,0.8414+-0.0155,0.9943+-0.0046,0.9774+-0.0139,0.8687+-0.0253,0.7657+-0.0087
