,Aggr,BA_Shapes-acc,BA_Shapes-completion,BA_Community-acc,BA_Community-completion,Tree_Cycle-acc,Tree_Cycle-completion,Cora-acc,Cora-completion
0,add,0.8958+-0.0000,0.6458+-0.0000,0.7509+-0.0000,0.4464+-0.0000,0.6611+-0.0000,0.7333+-0.0000,0.8600+-0.0000,0.5967+-0.0000
1,multi,0.9653+-0.0000,0.6458+-0.0000,0.7266+-0.0000,0.5571+-0.0000,1.0000+-0.0000,0.9833+-0.0000,0.8637+-0.0000,0.6464+-0.0000
