,Aggr,BA_Shapes-acc,BA_Shapes-completion,BA_Community-acc,BA_Community-completion,Tree_Cycle-acc,Tree_Cycle-completion,Cora-acc,Cora-completion
0,add,0.9859+-0.0097,0.9812+-0.0085,0.6805+-0.0144,0.7766+-0.0092,0.9136+-0.0061,0.9492+-0.0126,0.8784+-0.0170,0.8010+-0.0230
1,multi,0.9903+-0.0091,0.9764+-0.0085,0.9596+-0.0068,0.7057+-0.0271,0.9962+-0.0027,0.9812+-0.0028,0.8741+-0.0201,0.7873+-0.0033
