,Aggr,BA_Shapes-acc,BA_Shapes-completion,BA_Community-acc,BA_Community-completion,Tree_Cycle-acc,Tree_Cycle-completion,Cora-acc,Cora-completion
0,add,0.7968+-0.1298,0.6397+-0.0084,0.6933+-0.0200,0.5185+-0.0049,0.6940+-0.0527,0.7595+-0.0116,0.8692+-0.0141,0.5916+-0.0057
1,multi,0.9593+-0.0230,0.6373+-0.0073,0.7608+-0.0671,0.5416+-0.0233,0.9962+-0.0054,0.9661+-0.0162,0.8680+-0.0143,0.6486+-0.0016
