,Aggr,BA_Shapes-acc,BA_Shapes-completion,BA_Community-acc,BA_Community-completion,Tree_Cycle-acc,Tree_Cycle-completion,Cora-acc,Cora-completion
0,add,0.4478+-0.0196,0.4522+-0.0205,0.6688+-0.0283,0.6571+-0.0399,0.6052+-0.0281,0.7517+-0.0377,0.8728+-0.0083,0.8627+-0.0105
1,mean,0.9695+-0.0179,0.9719+-0.0194,0.8774+-0.0078,0.5786+-0.0144,0.9261+-0.0927,0.9848+-0.0117,0.7897+-0.0037,0.6305+-0.0067
2,multi,0.9952+-0.0034,0.9738+-0.0073,0.8585+-0.0823,0.7136+-0.0853,0.9981+-0.0027,0.9981+-0.0027,0.7884+-0.0199,0.8070+-0.0210
