,Aggr,BA_Shapes-acc,BA_Shapes-completion,BA_Community-acc,BA_Community-completion,Tree_Cycle-acc,Tree_Cycle-completion,Cora-acc,Cora-completion
0,add,0.4478+-0.0196,0.5284+-0.0176,0.6538+-0.0148,0.6097+-0.0197,0.6052+-0.0281,0.6349+-0.0472,0.8814+-0.0178,0.8590+-0.0152
1,mean,0.9741+-0.0084,0.9502+-0.0152,0.7789+-0.0137,0.4458+-0.0559,0.9963+-0.0026,0.9981+-0.0027,0.8317+-0.0208,0.6711+-0.0152
2,max,0.9479+-0.0219,0.9313+-0.0238,0.6427+-0.0489,0.5488+-0.0170,0.9981+-0.0027,0.9794+-0.0114,0.8087+-0.0210,0.6744+-0.0251
3,min,0.9687+-0.0250,0.9406+-0.0184,0.1956+-0.0049,0.1956+-0.0049,0.9739+-0.0213,0.9607+-0.0154,0.7244+-0.0286,0.6722+-0.0313
4,multi,0.9786+-0.0101,0.9431+-0.0012,0.8357+-0.0078,0.7191+-0.0244,0.9962+-0.0027,0.9905+-0.0097,0.8188+-0.0376,0.8043+-0.0201
