,Aggr,BA_Shapes-acc,BA_Shapes-completion,BA_Community-acc,BA_Community-completion,Tree_Cycle-acc,Tree_Cycle-completion,Cora-acc,Cora-completion
0,add,0.8400+-0.0686,0.6394+-0.0659,0.6900+-0.0283,0.6130+-0.0568,0.8380+-0.0410,0.8460+-0.0101,0.8752+-0.0129,0.6657+-0.0121
1,mean,0.9244+-0.0153,0.8868+-0.0384,0.6908+-0.0380,0.5340+-0.1301,0.9643+-0.0096,0.9136+-0.0090,0.8561+-0.0133,0.6463+-0.0189
2,multi,0.9881+-0.0035,0.8696+-0.0172,0.9432+-0.0079,0.7964+-0.0482,0.9963+-0.0026,0.9832+-0.0121,0.8445+-0.0161,0.7435+-0.0190
