,Aggr,BA_Shapes-acc,BA_Shapes-completion,BA_Community-acc,BA_Community-completion,Tree_Cycle-acc,Tree_Cycle-completion,Cora-acc,Cora-completion
0,add,0.9513888888888888,0.9513888888888888,0.6816608996539792,0.6332179930795848,0.6111111111111112,0.8166666666666667,0.861878453038674,0.8655616942909761
1,mean,0.9722222222222222,0.9236111111111112,0.7820069204152249,0.4982698961937716,0.9944444444444445,0.9722222222222222,0.7790055248618785,0.6003683241252302
2,max,0.8541666666666666,0.8333333333333334,0.45674740484429066,0.49480968858131485,0.9944444444444445,0.9833333333333333,0.8416206261510129,0.6445672191528545
3,min,0.8263888888888888,0.9166666666666666,0.1903114186851211,0.1903114186851211,1.0,1.0,0.7513812154696132,0.6869244935543278
4,multi,0.9791666666666666,0.9444444444444444,0.889273356401384,0.6885813148788927,1.0,0.9833333333333333,0.7845303867403315,0.7679558011049724
