,Aggr,BA_Shapes-acc,BA_Shapes-completion,BA_Community-acc,BA_Community-completion,Tree_Cycle-acc,Tree_Cycle-completion,Cora-acc,Cora-completion
0,add,0.9976+-0.0034,0.9313+-0.0117,0.7619+-0.0326,0.7826+-0.0163,0.9623+-0.0135,0.9383+-0.0350,0.8715+-0.0073,0.7514+-0.0028
1,mean,0.9740+-0.0087,0.9125+-0.0435,0.9584+-0.0082,0.6356+-0.0838,0.9644+-0.0132,0.9195+-0.0337,0.8765+-0.0126,0.8509+-0.0197
2,multi,0.9929+-0.0057,0.9393+-0.0609,0.9595+-0.0040,0.7151+-0.0767,0.9962+-0.0027,0.9924+-0.0071,0.8777+-0.0142,0.8233+-0.0274
