,Aggr,BA_Shapes-acc,BA_Shapes-completion,BA_Community-acc,BA_Community-completion,Tree_Cycle-acc,Tree_Cycle-completion,Cora-acc,Cora-completion
0,add,0.9734+-0.0329,0.6225+-0.1049,0.6529+-0.0116,0.8055+-0.0226,0.9136+-0.0107,0.9173+-0.0064,0.8704+-0.0133,0.7040+-0.0336
1,multi,0.9953+-0.0034,0.9738+-0.0092,0.9572+-0.0107,0.8151+-0.0218,0.9981+-0.0027,0.9962+-0.0027,0.8673+-0.0118,0.7439+-0.0131
